timestamp,open,high,low,close,volume
1609459200,28990.08,29083.75,28751.82,28815.64,319.29466145
1609460100,28811.95,28945.7,28792,28901.98,256.43368226
1609461000,28904.55,29050.47,28902.85,29019.2,285.08230776
1609461900,29019.2,29104.05,28983.11,29066.58,412.0802184
1609462800,29066.58,29420,29034.37,29420,713.22468593
1609463700,29420,29461.87,29288.94,29450.03,486.30454137
1609464600,29443.96,29545,29391.85,29407.1,728.67518649
1609465500,29393.57,29518.73,29391.36,29487.95,425.99639452
1609466400,29490.29,29539.86,29302.71,29351.03,492.15481244
1609467300,29350.68,29463.38,29343.32,29376.68,315.15294411
1609468200,29376.68,29376.7,29162.21,29332.06,260.09342713
1609469100,29325.22,29398.91,29220.22,29249.05,183.47455922
1609470000,29249.05,29358.16,29249.04,29338.84,162.49131664
1609470900,29338.83,29371.23,29225.76,29275.8,174.37461004
1609471800,29275.8,29417.61,29254.64,29344.54,166.04639119
1609472700,29344.62,29395.71,29316.59,29358.3,126.05193454
1609473600,29358.3,29419.01,29356.06,29367.55,207.03707635
1609474500,29367.55,29465,29367.55,29421.01,212.71636439
1609475400,29421.01,29458.83,29133.53,29246.82,331.16051017
1609476300,29242.69,29305.34,29242.68,29290.52,177.69254872
1609477200,29287.95,29305.32,29148.6,29175,243.30325817
1609478100,29174.99,29250,29174.99,29224.97,219.94441995
1609479000,29224.97,29270.69,29176.41,29240.21,198.77041936
1609479900,29240.16,29274.17,29206.24,29240.79,198.81448495
1609480800,29246.06,29320.04,29240.78,29275.11,205.17641474
1609481700,29274.22,29300,29158.93,29158.93,191.17058301
1609482600,29158.94,29248.37,29158.94,29246.4,289.7442571
1609483500,29246.4,29250.07,29159.43,29233.94,290.91905773
1609484400,29233.93,29234.87,28900,28985.67,562.87896542
1609485300,28985.67,29097.66,28974.06,29082.06,373.85150973
1609486200,29082.06,29174.97,29060.76,29160.17,182.45067902
1609487100,29162.12,29171.58,29135.21,29166.41,150.71620298
1609488000,29166.41,29246.63,29045.22,29076.14,266.14423513
1609488900,29072.19,29113.66,28928.16,29102.68,248.55622404
1609489800,29102.68,29189.22,29032.63,29053.32,153.71397388
1609490700,29050.49,29140.97,29000,29074.87,181.87811233
1609491600,29071.63,29221.59,29039.15,29201.66,170.00917222
1609492500,29201.66,29315.72,29167.58,29262.15,128.39437153
1609493400,29262.18,29386.28,29256.58,29301.25,126.78266501
1609494300,29301.24,29356.43,29266.29,29280.43,91.93683665
1609495200,29280.43,29385.48,29233.49,29355.59,142.75882198
1609496100,29353.85,29419.83,29304.95,29305.72,149.66864443
1609497000,29303.62,29394,29290.51,29351.42,65.2061053
1609497900,29351.43,29382.93,29293.7,29314.62,96.11165884
1609498800,29307.17,29418.65,29301.48,29377.46,134.97839098
1609499700,29377.47,29457.52,29344.67,29448.21,105.21255265
1609500600,29448.2,29490,29338.28,29364.5,140.22781953
1609501500,29361.64,29396.05,29322.17,29391.06,71.40191253
1609502400,29391.05,29402.08,29264.84,29346.47,140.64874669
1609503300,29346.02,29527,29322.46,29518.52,178.33675617
1609504200,29518.52,29688.88,29507.06,29588.93,444.69769806
1609505100,29587.34,29587.34,29226.42,29317.09,348.72224609
1609506000,29314.93,29465.19,29300,29465.18,209.63709216
1609506900,29466.19,29500.87,29383.23,29472.13,168.50046997
1609507800,29471.78,29503.98,29438.7,29478.46,144.23421845
1609508700,29479.01,29558.7,29478.77,29545.15,142.68191982
1609509600,29545.15,29634.83,29432.44,29544.41,217.46028014
1609510500,29545.67,29555,29477.1,29519.87,153.55467323
1609511400,29519.87,29529.59,29368.55,29480.37,215.90506475
1609512300,29483.49,29491,29353.55,29404.92,212.26487328
1609513200,29404.78,29475.83,29330.72,29435.79,239.94836221
1609514100,29437,29444.2,29305,29365.1,169.74723221
1609515000,29365.1,29365.1,29100,29199.21,313.60246643
1609515900,29204.22,29311,29197.37,29262.05,205.00308261
1609516800,29260.78,29330.76,29200,29295.48,218.31059779
1609517700,29295.82,29422.7,29291,29360.7,219.25384082
1609518600,29358.39,29395.38,29333.98,29375.12,209.569252
1609519500,29375,29436.72,29362.41,29382.22,161.02265396
1609520400,29382.22,29402.75,29339.01,29390.22,165.16414632
1609521300,29390.22,29418.57,29313.04,29364.36,213.32245704
1609522200,29363.98,29364.36,29204,29248.1,270.93397129
1609523100,29245.94,29250.79,29016.69,29161.43,434.37307977
1609524000,29161.39,29341.36,29069.26,29301.84,292.53075852
1609524900,29301.84,29321.99,29000,29094.42,359.20901413
1609525800,29094.42,29165,28927.3,28959.42,334.87144481
1609526700,28954.72,29158.87,28700,29145.76,679.11579238
1609527600,29145.76,29146.18,29027.5,29092.8,217.06718355
1609528500,29092.79,29200,29059.27,29135.95,235.96640665
1609529400,29135,29191.49,29110,29174.77,191.79425879
1609530300,29176.22,29200,29085.2,29116.99,170.8660143
1609531200,29116.93,29246.86,28958,29246.52,332.84381902
1609532100,29246.86,29326.01,29227.1,29304.7,197.35984573
1609533000,29303.16,29311.46,29244.1,29267.87,127.32661144
1609533900,29259.68,29368.83,29241.7,29295.98,221.89686624
1609534800,29289.62,29327.36,29268.44,29282.02,203.43293489
1609535700,29282.02,29325.2,29250.54,29320.08,146.56479429
1609536600,29320.07,29375,29304.04,29313.75,92.60155315
1609537500,29313.71,29313.71,29208.18,29253.63,180.20163974
1609538400,29244.43,29330.61,29192.85,29327.54,93.26946105
1609539300,29327.55,29387,29324.72,29361.53,130.01300598
1609540200,29362.06,29409,29332.72,29391.79,165.23303528
1609541100,29391.73,29398.51,29334.61,29354.92,128.59691745
1609542000,29354.92,29390.05,29336.45,29338.79,91.06085347
1609542900,29339.01,29396.81,29318.24,29369.99,130.80437195
1609543800,29370.25,29417.95,29359.03,29367.88,118.18509419
1609544700,29367.89,29412.84,29344.14,29412.84,157.28573749
1609545600,29413.29,29413.33,29297.3,29396.06,175.25093175
1609546500,29396.07,29396.07,29039,29125.74,291.38555473
1609547400,29120.45,29269,29077.1,29265.47,197.89533426
1609548300,29267.99,29275,29208.5,29273.94,144.12320479
1609549200,29273.93,29275,29186.83,29200.17,109.39396537
1609550100,29196.7,29329.16,29196.69,29293.04,149.16265373
1609551000,29291.56,29464,29291.56,29438.08,193.44265658
1609551900,29433.99,29495.59,29416.99,29455.05,147.92964839
1609552800,29455.05,29505,29404.27,29484,403.75581014
1609553700,29484,29561.73,29450.02,29499.91,466.28138405
1609554600,29512.23,29519.5,29439.84,29450.24,225.59003686
1609555500,29450,29479.56,29408.47,29413.66,164.8352387
1609556400,29413.66,29461.83,29362.5,29455.29,163.34925425
1609557300,29455.59,29455.59,29384.81,29400.04,126.44044159
1609558200,29397.92,29410,29340.13,29360.02,121.35864536
1609559100,29366.99,29446.68,29360.05,29440.01,139.00176169
1609560000,29440.01,29440.01,29301.51,29330,141.69088501
1609560900,29330,29400,29314.65,29389.22,140.34328442
1609561800,29389.22,29450,29334.63,29436.28,151.84922452
1609562700,29436.29,29477.11,29432.26,29440,136.49312547
1609563600,29439.99,29538.11,29439.99,29499.16,136.57833438
1609564500,29499.16,29589.68,29488.08,29587.68,169.61625556
1609565400,29589.63,29646.37,29550.01,29595.49,246.66392531
1609566300,29595.4,29683.5,29575.97,29683.03,145.67726882
1609567200,29683.02,29739.99,29550.03,29739.99,232.94395367
1609568100,29738.01,29749,29630.94,29748.99,182.86239163
1609569000,29749,29756.81,29637.18,29691.79,220.04570708
1609569900,29692.13,29822,29687.89,29799.98,301.36882328
1609570800,29800.64,29875,29776.19,29854.75,197.68657309
1609571700,29863.24,29865.55,29756.86,29804.9,140.98555412
1609572600,29804.9,29828.96,29725.01,29806,124.5719741
1609573500,29805.99,29887,29805.99,29837.78,151.61682389
1609574400,29837.77,29929.44,29822.9,29830.42,281.30246198
1609575300,29828.1,29889.42,29772.29,29797.81,140.86812077
1609576200,29798.3,29856.85,29720.12,29856.85,92.03060627
1609577100,29859.09,29920,29858.55,29911.15,104.17274982
1609578000,29911.14,29929,29800,29803.99,228.14346871
1609578900,29803.99,29886.39,29748.31,29759.26,151.81055958
1609579800,29759.29,29840.03,29639.14,29825.04,163.64994049
1609580700,29833.61,29969.99,29650.67,29691.36,297.2177481
1609581600,29690.16,29787.07,29550,29754.46,237.83235695
1609582500,29754.46,29890,29754.46,29860.56,137.24728514
1609583400,29860.54,29868.75,29758.57,29799.61,118.83255358
1609584300,29799.82,29831.22,29739.35,29752.49,91.97257804
1609585200,29751.39,29847.89,29749.29,29805.69,69.64769705
1609586100,29805.69,29816,29704.16,29737.96,118.26993666
1609587000,29742.19,29800.26,29714.08,29789,117.55019575
1609587900,29789,29838.31,29789,29829.72,120.7583567
1609588800,29829.71,29959,29805.14,29950,150.85550537
1609589700,29950,30479,29837.32,30350,1510.46491509
1609590600,30350,30766.28,30236.46,30763.1,710.83402958
1609591500,30763.09,30944,30595.16,30645.08,730.48277805
1609592400,30645.07,30893.67,30572.28,30806.47,547.57363602
1609593300,30806.47,30956,30760.31,30922.57,429.55312361
1609594200,30919.87,31454,30804.67,31353.85,982.74376031
1609595100,31353.11,31600,31099.99,31600,626.07662122
1609596000,31599.99,31623,31363.16,31449.56,570.50690519
1609596900,31449.13,31475.01,31100,31145.65,601.9381159
1609597800,31150,31338.82,31147.44,31268.89,360.58223811
1609598700,31259.95,31388.43,31205.02,31350.89,528.36292962
1609599600,31350.89,31471.94,31304.36,31327.46,461.60166931
1609600500,31327.65,31478.93,31319.28,31440.04,398.06686951
1609601400,31440.04,31848,31409.08,31752.11,745.91782057
1609602300,31752.11,31898,31665.99,31802.45,782.37621695
1609603200,31800.34,32394,31790.31,32148.7,1233.45574001
